cell_line,model,rows_total,train_rows_before_augmentation,train_rows_after_augmentation,test_rows,input_features,r2_score,rmse,mae,pearson_rp,spearman_rs,train_time_sec,model_path,prediction_file,status,error
HL-60(TB),CatBoost,2390,2151,4302,239,526,0.3836646583127056,85.60436932744696,60.14455485004757,0.6217206526289114,0.5419677276931754,4.831557989120483,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_HL_60_TB.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_HL_60_TB.csv,success,
HL-60(TB),RandomForest,2390,2151,4302,239,526,0.37691755923128867,86.0716547506621,59.10477489539749,0.6145017311041752,0.5473505282199501,10.765312671661377,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HL_60_TB.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HL_60_TB.csv,success,
HOP-62,CatBoost,2438,2194,4388,244,526,0.4426866697959222,41.83419209227736,31.197905704723713,0.6778229760143211,0.6227076504956898,4.665778875350952,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_HOP_62.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_HOP_62.csv,success,
HOP-62,XGBoost,2438,2194,4388,244,526,0.4331450806093987,42.19078741331464,30.70706332501665,0.6599932674445451,0.6319647239959112,2.5254595279693604,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_HOP_62.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_HOP_62.csv,success,
HOP-62,RandomForest,2438,2194,4388,244,526,0.4157838146082079,42.83201077820326,31.439584504293524,0.6478612793730457,0.6183977102290561,11.021087169647217,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HOP_62.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HOP_62.csv,success,
HOP-62,LightGBM,2438,2194,4388,244,526,0.4085541429669969,43.09621883101416,31.085875982689714,0.6415053273326919,0.6240063091492392,2.613485813140869,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HOP_62.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HOP_62.csv,success,
HOP-92,LightGBM,2438,2194,4388,244,526,0.30725104082468413,48.8503790379034,34.79550454364468,0.5651143871085254,0.5841237830911683,3.2440552711486816,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HOP_92.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HOP_92.csv,success,
HOP-92,XGBoost,2438,2194,4388,244,526,0.29667926795548627,49.2217110464011,35.4744830030154,0.554135122118257,0.5846843102108554,2.291604518890381,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_HOP_92.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_HOP_92.csv,success,
HOP-92,CatBoost,2438,2194,4388,244,526,0.29626934292026874,49.23605320321422,34.736697697282864,0.5589210385296286,0.5757675092287725,4.8180553913116455,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_HOP_92.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_HOP_92.csv,success,
HOP-92,RandomForest,2438,2194,4388,244,526,0.28750483105308167,49.54170612855155,34.83567970335675,0.5512631470059732,0.5796487732381009,11.232924699783325,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HOP_92.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HOP_92.csv,success,
HS 578T,RandomForest,2406,2165,4330,241,526,0.41258177212962677,46.928264573920586,36.539362655601664,0.6506802981400188,0.6243287212939428,10.908628225326538,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HS_578T.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HS_578T.csv,success,
HS 578T,LightGBM,2406,2165,4330,241,526,0.4122576616610214,46.94120922190873,36.55764806269535,0.6464204982428302,0.6070161765766374,3.02465558052063,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HS_578T.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HS_578T.csv,success,
HS 578T,XGBoost,2406,2165,4330,241,526,0.3879325209603882,47.90274901002402,36.94471200300512,0.6282533992820475,0.5933984398517657,2.4569091796875,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_HS_578T.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_HS_578T.csv,success,
